t,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,reward
36.101,1.6360,2.0126,0.8971,1.4112,2.4997,0.9964,-1.1312
36.204,1.6360,2.0300,0.8904,1.4236,2.5006,1.0028,-1.1279
36.301,1.6374,2.0450,0.8822,1.4359,2.5006,1.0197,-1.1217
36.401,1.6380,2.0534,0.8781,1.4397,2.5006,1.0306,-1.1129
36.505,1.6377,2.0786,0.8833,1.4323,2.5010,1.0393,-1.1060
36.601,1.6377,2.0786,0.8833,1.4323,2.5010,1.0393,-1.0829
36.701,1.6377,2.0786,0.8833,1.4323,2.5010,1.0393,-1.0829
36.801,1.6317,2.1434,0.8995,1.4002,2.5012,1.0407,-1.0318
36.901,1.6287,2.1599,0.9047,1.3943,2.5012,1.0251,-1.0015
37.005,1.6280,2.1778,0.9116,1.3859,2.5010,1.0133,-0.9794
37.103,1.6278,2.2028,0.9221,1.3712,2.5012,1.0031,-0.9576
37.204,1.6288,2.2198,0.9282,1.3653,2.5018,0.9881,-0.9238
37.301,1.6297,2.2255,0.9307,1.3624,2.5017,0.9808,-0.9113
37.402,1.6316,2.2406,0.9223,1.3792,2.5016,0.9723,-0.9067
37.501,1.6333,2.2473,0.9165,1.3902,2.5023,0.9766,-0.9056
37.602,1.6356,2.2610,0.9093,1.3994,2.5019,0.9894,-0.9057
37.701,1.6358,2.2894,0.9045,1.4035,2.5011,1.0023,-0.8889
37.801,1.6348,2.3099,0.9001,1.4085,2.5008,1.0083,-0.8625
37.900,1.6330,2.3329,0.8937,1.4197,2.5012,1.0133,-0.8556
38.006,1.6310,2.3473,0.8892,1.4266,2.5026,1.0192,-0.8429
38.102,1.6309,2.3643,0.8908,1.4197,2.5049,1.0148,-0.8323
38.201,1.6310,2.3773,0.8951,1.4094,2.5042,1.0078,-0.8203
38.301,1.6319,2.3939,0.9034,1.3921,2.5020,0.9914,-0.7954
38.411,1.6331,2.4042,0.9073,1.3888,2.5028,0.9841,-0.7812
38.501,1.6351,2.4154,0.9125,1.3823,2.5033,0.9768,-0.7769
38.601,1.6375,2.4263,0.9169,1.3799,2.5022,0.9743,-0.7716
38.701,1.6446,2.4295,0.9145,1.3864,2.5013,0.9779,-0.7684
38.808,1.6657,2.4279,0.9076,1.4020,2.5009,0.9907,-0.7807
38.901,1.6732,2.4263,0.9054,1.4059,2.5011,0.9955,-0.8022
39.001,1.6732,2.4263,0.9054,1.4059,2.5011,0.9955,-0.8118
39.102,1.6803,2.4243,0.9034,1.4089,2.5013,1.0006,-0.8118
39.201,1.6998,2.4229,0.8972,1.4144,2.5012,1.0119,-0.8205
39.302,1.7165,2.4239,0.8902,1.4251,2.5011,1.0204,-0.8446
39.401,1.7220,2.4237,0.8881,1.4286,2.5011,1.0236,-0.8625
39.505,1.7386,2.4255,0.8844,1.4322,2.5012,1.0349,-0.8775
39.601,1.7575,2.4339,0.8913,1.4172,2.5004,1.0379,-0.8928
39.701,1.7736,2.4401,0.8996,1.4010,2.4974,1.0255,-0.8952
39.801,1.7858,2.4424,0.9042,1.3957,2.4984,1.0125,-0.8949
39.901,1.7975,2.4474,0.9102,1.3880,2.4999,1.0024,-0.9037
40.001,1.8064,2.4527,0.9183,1.3764,2.4992,0.9935,-0.9123
40.106,1.8094,2.4537,0.9206,1.3733,2.4990,0.9904,-0.9151
40.201,1.8174,2.4560,0.9230,1.3745,2.4989,0.9792,-0.9168
40.302,1.8265,2.4617,0.9144,1.3928,2.5003,0.9706,-0.9301
40.401,1.8340,2.4641,0.9081,1.4027,2.5034,0.9702,-0.9499
40.502,1.8359,2.4650,0.9057,1.4057,2.5046,0.9723,-0.9636
40.601,1.8281,2.4709,0.9001,1.4128,2.5053,0.9793,-0.9673
40.701,1.8150,2.4810,0.8937,1.4244,2.5045,0.9928,-0.9580
40.801,1.8116,2.4845,0.8918,1.4269,2.5041,0.9981,-0.9518
40.903,1.8080,2.4893,0.8913,1.4252,2.5040,1.0051,-0.9488
41.001,1.8006,2.4983,0.8993,1.4060,2.5040,1.0148,-0.9399
41.101,1.7976,2.5011,0.9014,1.4011,2.5039,1.0181,-0.9243
41.205,1.7804,2.5192,0.9122,1.3883,2.5032,1.0406,-0.9187
41.301,1.7761,2.5237,0.9173,1.3803,2.5026,1.0451,-0.9018
41.410,1.7705,2.5304,0.9243,1.3692,2.5019,1.0434,-0.8933
41.525,1.7671,2.5367,0.9284,1.3657,2.5014,1.0329,-0.8845
41.610,1.7628,2.5421,0.9269,1.3685,2.5017,1.0235,-0.8785
41.702,1.7372,2.5610,0.9169,1.3874,2.5018,1.0073,-0.8716
41.800,1.7119,2.5793,0.9081,1.4004,2.5016,0.9954,-0.8568
41.901,1.6997,2.5861,0.9028,1.4065,2.5022,0.9847,-0.8472
42.001,1.6831,2.5814,0.8959,1.4165,2.5017,0.9739,-0.8418
42.102,1.6768,2.5787,0.8938,1.4199,2.5017,0.9715,-0.8259
42.201,1.6561,2.5699,0.8884,1.4284,2.5021,0.9660,-0.8219
42.301,1.6488,2.5681,0.8843,1.4319,2.5017,0.9603,-0.8100
42.401,1.6373,2.5647,0.8805,1.4369,2.5000,0.9565,-0.8006
42.501,1.6219,2.5562,0.8818,1.4339,2.4983,0.9661,-0.7882
42.604,1.6142,2.5526,0.8903,1.4193,2.4998,0.9830,-0.7673
42.700,1.6015,2.5495,0.8996,1.4013,2.5002,0.9970,-0.7520
42.806,1.5905,2.5424,0.9056,1.3947,2.4989,1.0093,-0.7284
42.901,1.5827,2.5382,0.9121,1.3860,2.4996,1.0186,-0.7123
43.001,1.5772,2.5387,0.9165,1.3811,2.5005,1.0231,-0.7017
43.101,1.5733,2.5386,0.9155,1.3878,2.5006,1.0306,-0.6972
43.201,1.5598,2.5437,0.9095,1.4025,2.4994,1.0383,-0.7001
43.301,1.5376,2.5592,0.9048,1.4129,2.4995,1.0392,-0.6980
43.400,1.5190,2.5722,0.9017,1.4159,2.5000,1.0291,-0.7030
43.501,1.5099,2.5765,0.8985,1.4196,2.5000,1.0194,-0.7063
43.601,1.5017,2.5787,0.8945,1.4263,2.5000,1.0100,-0.7085
43.702,1.4874,2.5812,0.8909,1.4315,2.5000,1.0009,-0.7127
43.801,1.4665,2.5791,0.8994,1.4140,2.4999,0.9905,-0.7198
43.901,1.4527,2.5717,0.9067,1.3997,2.4997,0.9788,-0.7119
44.001,1.4407,2.5652,0.9116,1.3952,2.5003,0.9743,-0.7056
44.101,1.4407,2.5652,0.9116,1.3952,2.5008,0.9754,-0.7080
44.201,1.4299,2.5595,0.9168,1.3900,2.5017,0.9841,-0.7080
44.301,1.4263,2.5581,0.9187,1.3872,2.5014,0.9889,-0.7123
44.401,1.4126,2.5557,0.9242,1.3793,2.5001,1.0061,-0.7125
44.506,1.4028,2.5513,0.9193,1.3890,2.5003,1.0126,-0.7155
44.600,1.3942,2.5444,0.9112,1.4026,2.5012,1.0185,-0.7271
44.701,1.3885,2.5413,0.9073,1.4082,2.5012,1.0249,-0.7400
44.801,1.3805,2.5401,0.9031,1.4124,2.5007,1.0368,-0.7477
44.901,1.3655,2.5388,0.8934,1.4279,2.4987,1.0382,-0.7618
45.001,1.3518,2.5446,0.8899,1.4342,2.4967,1.0312,-0.7785
45.101,1.3265,2.5587,0.8864,1.4371,2.4962,1.0173,-0.7932
45.204,1.3088,2.5711,0.8877,1.4343,2.4981,1.0086,-0.8191
45.301,1.2985,2.5810,0.8960,1.4154,2.4994,0.9980,-0.8381
45.400,1.2838,2.5885,0.9025,1.4020,2.4976,0.9879,-0.8418
45.500,1.2613,2.5916,0.9099,1.3953,2.4990,0.9744,-0.8491
45.601,1.2613,2.5916,0.9099,1.3953,2.4990,0.9744,-0.8733
45.701,1.2524,2.5906,0.9119,1.3933,2.4999,0.9729,-0.8733
45.802,1.2423,2.5838,0.9211,1.3810,2.5031,0.9790,-0.8822
45.901,1.2336,2.5783,0.9248,1.3766,2.5013,0.9965,-0.8866
46.002,1.2103,2.5666,0.9174,1.3888,2.5001,1.0082,-0.8889
46.101,1.2005,2.5610,0.9101,1.4005,2.5012,1.0131,-0.9127
46.201,1.1884,2.5520,0.9038,1.4082,2.5012,1.0229,-0.9284
46.304,1.1807,2.5484,0.9004,1.4120,2.4996,1.0217,-0.9397
46.401,1.1762,2.5464,0.8948,1.4204,2.4986,1.0110,-0.9492
46.501,1.1774,2.5425,0.8943,1.4175,2.5001,0.9993,-0.9548
46.601,1.1867,2.5338,0.9006,1.4017,2.5000,0.9905,-0.9515
46.701,1.1976,2.5241,0.9069,1.3900,2.4989,0.9819,-0.9315
46.801,1.2031,2.5182,0.9115,1.3864,2.5002,0.9747,-0.9134
46.903,1.2063,2.5146,0.9145,1.3840,2.5015,0.9711,-0.9097
47.012,1.2113,2.5094,0.9181,1.3810,2.5020,0.9672,-0.9082
47.101,1.2171,2.5031,0.9194,1.3817,2.5012,0.9696,-0.9012
47.201,1.2171,2.5031,0.9194,1.3817,2.5012,0.9696,-0.8981
47.301,1.2217,2.4989,0.9183,1.3841,2.5009,0.9722,-0.8981
47.401,1.2606,2.4705,0.9066,1.4071,2.5002,0.9929,-0.8939
47.504,1.2784,2.4547,0.9015,1.4134,2.4998,1.0027,-0.8594
47.601,1.2858,2.4446,0.8994,1.4152,2.4999,1.0090,-0.8525
47.701,1.3059,2.4266,0.8921,1.4258,2.5005,1.0202,-0.8455
47.801,1.3250,2.4129,0.8903,1.4264,2.5008,1.0280,-0.8372
47.902,1.3398,2.4116,0.8961,1.4212,2.5004,1.0365,-0.8307
48.001,1.3533,2.4217,0.9007,1.4179,2.4994,1.0326,-0.8183
48.101,1.3668,2.4278,0.9059,1.4146,2.4981,1.0196,-0.7926
48.200,1.3795,2.4288,0.9114,1.4115,2.4990,1.0074,-0.7808
48.301,1.3870,2.4324,0.9149,1.4089,2.5004,1.0018,-0.7694
48.401,1.3973,2.4418,0.9192,1.4060,2.5000,0.9930,-0.7621
48.501,1.4032,2.4459,0.9214,1.4043,2.4987,0.9845,-0.7484
48.602,1.4115,2.4471,0.9240,1.4025,2.4990,0.9753,-0.7377
48.701,1.4199,2.4521,0.9255,1.4015,2.5010,0.9702,-0.7345
48.800,1.4280,2.4593,0.9266,1.4009,2.5007,0.9613,-0.7240
48.901,1.4353,2.4616,0.9274,1.4002,2.4975,0.9521,-0.7191
49.001,1.4453,2.4582,0.9284,1.3996,2.4961,0.9591,-0.7114
49.101,1.4755,2.4394,0.9299,1.3983,2.4995,0.9806,-0.6979
49.203,1.4832,2.4344,0.9299,1.3983,2.4995,0.9806,-0.6965
49.301,1.4896,2.4296,0.9308,1.3977,2.5005,0.9888,-0.6988
49.400,1.5026,2.4176,0.9326,1.3966,2.4988,0.9957,-0.7023
49.501,1.5061,2.4148,0.9334,1.3960,2.4980,0.9990,-0.7147
49.602,1.5329,2.4050,0.9379,1.3930,2.4999,1.0199,-0.7139
49.704,1.5488,2.4045,0.9394,1.3921,2.5006,1.0263,-0.7326
49.801,1.5616,2.4122,0.9394,1.3922,2.4980,1.0341,-0.7414
49.901,1.5791,2.4226,0.9384,1.3925,2.4999,1.0491,-0.7406
50.001,1.5918,2.4240,0.9385,1.3925,2.5018,1.0546,-0.7500
50.101,1.6055,2.4334,0.9387,1.3925,2.5007,1.0532,-0.7645
50.223,1.6119,2.4401,0.9386,1.3926,2.5012,1.0474,-0.7665
50.301,1.6203,2.4465,0.9385,1.3925,2.5022,1.0325,-0.7671
50.404,1.6293,2.4497,0.9386,1.3926,2.5012,1.0131,-0.7684
50.501,1.6333,2.4527,0.9386,1.3926,2.5007,1.0080,-0.7714
50.601,1.6363,2.4562,0.9386,1.3925,2.5013,1.0024,-0.7732
50.700,1.6277,2.4664,0.9387,1.3925,2.5017,0.9900,-0.7744
50.803,1.6167,2.4766,0.9386,1.3925,2.5003,0.9765,-0.7652
50.901,1.6108,2.4810,0.9386,1.3925,2.5006,0.9738,-0.7522
51.001,1.6079,2.4839,0.9386,1.3925,2.5017,0.9699,-0.7464
51.101,1.6019,2.4914,0.9386,1.3925,2.5016,0.9598,-0.7449
51.201,1.5944,2.4973,0.9387,1.3925,2.5003,0.9607,-0.7405
51.302,1.5864,2.5019,0.9386,1.3925,2.5003,0.9671,-0.7258
51.401,1.5794,2.5091,0.9386,1.3925,2.5036,0.9873,-0.7184
51.502,1.5764,2.5122,0.9386,1.3925,2.5035,0.9932,-0.7150
51.606,1.5697,2.5184,0.9387,1.3926,2.5016,1.0012,-0.7093
51.701,1.5705,2.5211,0.9386,1.3925,2.5024,1.0178,-0.7028
51.814,1.5837,2.5141,0.9386,1.3926,2.5034,1.0235,-0.7080
51.904,1.5940,2.5061,0.9386,1.3925,2.5026,1.0288,-0.7213
52.001,1.5973,2.4995,0.9386,1.3925,2.5010,1.0424,-0.7305
52.101,1.6041,2.4915,0.9386,1.3925,2.5023,1.0508,-0.7357
52.201,1.6170,2.4788,0.9386,1.3926,2.5021,1.0416,-0.7468
52.302,1.6227,2.4717,0.9388,1.3926,2.5011,1.0255,-0.7591
52.401,1.6287,2.4650,0.9387,1.3926,2.5019,1.0105,-0.7604
52.501,1.6283,2.4637,0.9386,1.3926,2.5020,1.0033,-0.7666
52.601,1.6181,2.4716,0.9386,1.3925,2.5011,0.9902,-0.7664
52.701,1.6088,2.4781,0.9386,1.3925,2.5007,0.9820,-0.7538
52.802,1.6010,2.4856,0.9387,1.3926,2.5011,0.9792,-0.7401
52.902,1.5951,2.4951,0.9386,1.3926,2.5023,0.9875,-0.7339
53.001,1.5898,2.4996,0.9386,1.3926,2.5023,0.9957,-0.7290
53.101,1.5815,2.5066,0.9386,1.3925,2.5013,1.0083,-0.7196
53.201,1.5767,2.5134,0.9387,1.3925,2.5019,1.0169,-0.7141
53.301,1.5747,2.5170,0.9386,1.3925,2.5037,1.0200,-0.7117
53.401,1.5791,2.5149,0.9386,1.3924,2.5036,1.0203,-0.7126
53.501,1.5878,2.5096,0.9386,1.3925,2.5033,1.0173,-0.7200
53.601,1.5923,2.5068,0.9386,1.3925,2.5031,1.0145,-0.7235
53.701,1.6005,2.4955,0.9386,1.3925,2.5025,0.9982,-0.7300
53.801,1.6081,2.4852,0.9386,1.3925,2.5026,0.9837,-0.7355
53.904,1.6200,2.4750,0.9386,1.3925,2.5028,0.9792,-0.7471
54.001,1.6240,2.4716,0.9386,1.3925,2.5029,0.9754,-0.7581
54.101,1.6233,2.4707,0.9386,1.3925,2.5044,0.9805,-0.7644
54.201,1.6121,2.4785,0.9386,1.3925,2.5047,0.9928,-0.7602
54.310,1.6002,2.4872,0.9386,1.3925,2.5028,1.0061,-0.7499
54.405,1.5950,2.4940,0.9386,1.3926,2.5029,1.0144,-0.7348
54.501,1.5925,2.4973,0.9387,1.3925,2.5040,1.0177,-0.7303
54.601,1.5886,2.5011,0.9386,1.3925,2.5047,1.0199,-0.7286
54.701,1.5833,2.5079,0.9386,1.3926,2.5038,1.0165,-0.7255
54.801,1.5943,2.5040,0.9386,1.3925,2.5021,1.0018,-0.7194
54.901,1.5983,2.5016,0.9386,1.3926,2.5021,0.9976,-0.7273
55.003,1.5983,2.5016,0.9386,1.3926,2.5021,0.9976,-0.7313
55.101,1.6060,2.4925,0.9386,1.3925,2.5029,0.9835,-0.7344
55.203,1.6109,2.4847,0.9386,1.3925,2.5029,0.9798,-0.7410
55.300,1.6236,2.4727,0.9386,1.3925,2.5010,0.9782,-0.7471
55.401,1.6283,2.4684,0.9386,1.3925,2.5013,0.9818,-0.7602
55.501,1.6283,2.4684,0.9386,1.3925,2.5013,0.9818,-0.7655
55.601,1.6283,2.4684,0.9386,1.3925,2.5013,0.9818,-0.7655
55.702,1.6304,2.4646,0.9386,1.3925,2.5023,0.9898,-0.7655
55.803,1.6315,2.4627,0.9387,1.3926,2.5026,0.9993,-0.7686
55.905,1.6096,2.4787,0.9386,1.3924,2.5027,1.0192,-0.7703
56.002,1.6022,2.4854,0.9386,1.3925,2.5030,1.0266,-0.7465
56.105,1.5949,2.4941,0.9387,1.3925,2.5010,1.0406,-0.7399
56.211,1.5846,2.5018,0.9386,1.3925,2.5024,1.0520,-0.7340
56.304,1.5761,2.5092,0.9386,1.3926,2.5033,1.0552,-0.7274
56.401,1.5726,2.5144,0.9386,1.3925,2.5023,1.0581,-0.7221
56.508,1.5697,2.5188,0.9386,1.3925,2.5017,1.0552,-0.7190
56.602,1.5669,2.5226,0.9386,1.3926,2.5021,1.0477,-0.7135
56.713,1.5635,2.5277,0.9387,1.3925,2.5024,1.0300,-0.7096
56.810,1.5734,2.5222,0.9389,1.3930,2.5018,1.0144,-0.7058
56.901,1.5891,2.5093,0.9386,1.3926,2.5018,1.0020,-0.7140
57.001,1.5948,2.5026,0.9387,1.3926,2.5011,0.9868,-0.7223
57.102,1.6013,2.4964,0.9387,1.3925,2.5016,0.9759,-0.7275
57.203,1.6085,2.4885,0.9386,1.3925,2.5012,0.9707,-0.7361
57.308,1.6161,2.4800,0.9387,1.3924,2.5007,0.9642,-0.7469
57.401,1.6252,2.4726,0.9387,1.3925,2.5009,0.9674,-0.7570
57.504,1.6292,2.4684,0.9387,1.3925,2.5025,0.9730,-0.7638
57.601,1.6277,2.4682,0.9386,1.3924,2.5031,0.9878,-0.7695
57.701,1.6163,2.4760,0.9387,1.3924,2.5020,1.0005,-0.7625
57.801,1.6015,2.4871,0.9387,1.3924,2.5013,1.0083,-0.7516
57.908,1.5971,2.4930,0.9388,1.3924,2.5028,1.0174,-0.7351
58.001,1.5938,2.4967,0.9388,1.3923,2.5037,1.0269,-0.7333
58.101,1.5886,2.5015,0.9387,1.3923,2.5036,1.0277,-0.7310
58.201,1.5765,2.5125,0.9388,1.3924,2.5024,1.0168,-0.7223
58.309,1.5717,2.5185,0.9387,1.3925,2.5021,1.0083,-0.7100
58.402,1.5765,2.5158,0.9388,1.3924,2.5016,0.9938,-0.7068
58.501,1.5843,2.5090,0.9387,1.3924,2.5025,0.9870,-0.7111
58.601,1.5883,2.5060,0.9387,1.3924,2.5025,0.9870,-0.7186
58.701,1.5983,2.4990,0.9388,1.3924,2.5025,0.9780,-0.7230
58.804,1.6038,2.4914,0.9387,1.3924,2.5013,0.9687,-0.7337
58.901,1.6074,2.4862,0.9388,1.3924,2.5011,0.9645,-0.7404
59.001,1.6074,2.4862,0.9388,1.3924,2.5011,0.9645,-0.7448
59.102,1.6171,2.4757,0.9387,1.3925,2.5019,0.9761,-0.7448
59.201,1.6224,2.4705,0.9387,1.3925,2.5020,0.9849,-0.7545
59.303,1.6207,2.4703,0.9387,1.3925,2.5018,1.0010,-0.7597
59.401,1.6207,2.4703,0.9387,1.3925,2.5018,1.0010,-0.7570
59.501,1.5994,2.4870,0.9388,1.3925,2.5025,1.0186,-0.7570
59.603,1.5970,2.4901,0.9388,1.3924,2.5032,1.0259,-0.7349
59.701,1.5916,2.4947,0.9387,1.3925,2.5021,1.0353,-0.7333
59.801,1.5784,2.5049,0.9388,1.3925,2.4992,1.0335,-0.7292
59.901,1.5714,2.5125,0.9388,1.3925,2.4969,1.0247,-0.7082
